STOPS_NO,STOPS_NM,XCRD,YCRD,NODE_ID,STOPS_TYPE
123000689,한강버스.잠실선착장,127.084778,37.518944,00001,한강선착장
104000315,한강버스.뚝섬선착장,127.0664722,37.5286945,00002,한강선착장
103000517,한강버스.옥수선착장,127.0180556,37.53875,00003,한강선착장
122000752,한강버스.압구정선착장,127.0163611,37.5268056,00004,한강선착장
118000622,한강버스.여의도선착장,126.9346389,37.529,00005,한강선착장
113000513,한강버스.망원선착장,126.8946111,37.5545,00006,한강선착장
115000952,한강버스.마곡선착장,126.8441111,37.5751389,00007,한강선착장
103000519,한강버스.서울숲선착장,127.0322985977,37.5405188592,00008,한강선착장
100000001,종로2가사거리,126.9877522923,37.5698055407,01001,중앙차로
100000002,창경궁.서울대학교병원,126.9965206101,37.579432932,01002,중앙차로
100000003,명륜3가.성대입구,126.9982508372,37.5825800121,01003,중앙차로
100000004,종로2가.삼일교,126.9876130976,37.5685792736,01004,중앙차로
100000005,혜화동로터리.여운형활동터,127.001744,37.586243,01005,중앙차로
101000305,서대문역사거리,126.966893,37.566137,01006,중앙차로
100000380,서울역사박물관.경희궁앞,126.97038,37.569135,01007,중앙차로
100000379,서울역사박물관.경희궁앞,126.9707589959,37.5695119837,01008,중앙차로
100000384,광화문역,126.9763534416,37.5701416811,01009,중앙차로
100000385,광화문역,126.9778802991,37.5702396638,01010,중앙차로
100000386,종로1가,126.9810660928,37.5701482455,01011,중앙차로
100000387,종로1가,126.9816283242,37.5702710116,01012,중앙차로
100000388,종로2가,126.9849902588,37.5701723774,01013,중앙차로
100000389,종로2가,126.9865353674,37.5702378859,01014,중앙차로
100000390,종로3가.탑골공원,126.9893256464,37.5702088889,01015,중앙차로
100000391,종로3가.탑골공원,126.9899877751,37.5703605443,01016,중앙차로
100000392,종로4가.종묘,126.9947218896,37.5705069968,01017,중앙차로
100000393,종로4가.종묘,126.995395739,37.570635002,01018,중앙차로
100000394,종로5가.광장시장,126.9990604685,37.5707860047,01019,중앙차로
100000395,종로5가.광장시장,126.9996038113,37.570930167,01020,중앙차로
100000396,종로6가.동대문종합시장,127.004462788,37.5710111729,01021,중앙차로
100000397,종로6가.동대문종합시장,127.0057137364,37.5711272339,01022,중앙차로
100000398,동대문역.흥인지문,127.013815948,37.572447536,01023,중앙차로
100000365,동대문역.흥인지문,127.0124191046,37.5721524474,01037,중앙차로
100000366,동묘앞.서울혜화경찰서,127.0186102731,37.5738321574,01041,중앙차로
100000367,동묘앞.서울혜화경찰서,127.0195527812,37.5742464626,01044,중앙차로
100000006,경기상고,126.9693634554,37.5875502159,01101,일반차로
100000007,신교동,126.9702626865,37.5832955233,01102,일반차로
100000008,경기상고,126.9697701102,37.5871907861,01103,일반차로
100000009,경복고교,126.9708802468,37.5851600316,01104,일반차로
100000010,청운중학교,126.9726741314,37.587810579,01105,일반차로
100000011,자하문고개.윤동주문학관,126.9671261805,37.5921866176,01106,일반차로
100000012,자하문고개.윤동주문학관,126.9671906625,37.5923353152,01107,일반차로
100000013,청운중학교,126.9722631304,37.5884219586,01108,일반차로
100000014,경복고교,126.9714039185,37.5850633028,01109,일반차로
100000015,통인시장종로구보건소,126.9710500404,37.5803257033,01110,일반차로
100000016,통인시장종로구보건소,126.9713851083,37.5805132118,01111,일반차로
100000017,효자동,126.9706209712,37.583091043,01112,일반차로
100000018,사직단.어린이도서관,126.9679907155,37.5751355316,01113,일반차로
100000019,경복궁역1번출구,126.9714158133,37.5761614873,01114,일반차로
100000020,경복궁역2번출구,126.9721994292,37.577040144,01115,일반차로
100000021,경복궁역3번출구,126.9722828893,37.5776713863,01116,일반차로
100000022,경복궁,126.9787471496,37.5755767894,01117,일반차로
100000023,광화문역2번출구.KT광화문지사,126.9774162769,37.5723209262,01118,일반차로
100000415,영추문,126.9739817664,37.5789303855,01119,일반차로
100000025,광화문역6번출구,126.97640724,37.5700448348,01120,일반차로
100000028,서울역사박물관.강북삼성병원,126.971248,37.570023,01123,일반차로
100000029,새문안교회,126.9728386477,37.5703368912,01124,일반차로
100000030,광화문역7번출구,126.975837,37.570365,01125,일반차로
100000031,세종문화회관,126.9769975778,37.5736489318,01126,일반차로
100000032,서울경찰청.경복궁역,126.9714842989,37.5757446636,01127,일반차로
100000033,사직단,126.968188961,37.5748553458,01128,일반차로
100000034,광화문역6번출구.광화문빌딩,126.9768637419,37.5695035518,01129,일반차로
100000035,덕성여중고,126.981972246,37.5757693863,01130,일반차로
100000036,안국역.서울공예박물관,126.9839957858,37.5760695565,01131,일반차로
100000037,국민은행세검정지점,126.9608880061,37.6046629766,01132,일반차로
100000038,세검정초등학교,126.9612198463,37.6025022799,01133,일반차로
100000039,세검정.상명대,126.9582921267,37.6004770909,01134,일반차로
100000040,상명대입구.석파랑,126.958570225,37.5994133537,01135,일반차로
100000041,하림각,126.9617068235,37.5981330665,01136,일반차로
100000042,자하문터널입구.석파정,126.9636434993,37.5955935123,01137,일반차로
100000043,부암동주민센터.무계원,126.9642221989,37.5927670827,01138,일반차로
100000044,부암동주민센터.무계원,126.9651419211,37.5927861733,01139,일반차로
100000045,자하문터널입구.석파정,126.9639775924,37.5955575712,01140,일반차로
100000046,하림각,126.962215308,37.5981476478,01141,일반차로
100000047,상명대입구.세검정교회,126.9592405649,37.5996163318,01142,일반차로
100000048,세검정.세검정성당,126.959155798,37.6006470965,01143,일반차로
100000049,세검정초등학교,126.9614328894,37.6022680671,01144,일반차로
100000051,국민은행세검정지점,126.9611926889,37.6048461618,01146,일반차로
100000053,승가사입구,126.9563059978,37.6115844138,01148,일반차로
100000054,구기동현대빌라,126.9564575503,37.6100355035,01149,일반차로
100000055,구기터널.삼성출판박물관,126.9562103294,37.6086098941,01150,일반차로
100000056,구기터널.삼성출판박물관,126.9564166508,37.6083054034,01151,일반차로
100000057,구기동,126.9585297928,37.6069644475,01152,일반차로
100000058,구기동,126.9591017479,37.6070088003,01153,일반차로
100000059,승가사입구,126.956482,37.61148,01154,일반차로
100000060,갑을씨티텔앞,126.9635350292,37.6043709709,01155,일반차로
100000061,평창파출소,126.9660432906,37.6053223656,01156,일반차로
100000062,평창동주민센터,126.9695663093,37.6066073749,01157,일반차로
100000063,일성아파트,126.9729237379,37.6088723554,01158,일반차로
100000064,롯데아파트,126.9763156152,37.6103897208,01159,일반차로
100000065,롯데아파트,126.976652,37.610248,01160,일반차로
100000066,벽산평창힐스아파트,126.972797,37.60819,01161,일반차로
100000067,예능교회,126.97,37.606517,01162,일반차로
100000068,서울예술고등학교.평창동주민센터,126.9676276108,37.6057787606,01163,일반차로
100000069,화정박물관,126.9648102665,37.6045038178,01164,일반차로
100000376,삼성강북병원.경교장,126.9686004828,37.568145927,01165,일반차로
100000072,독립문역.서대문형무소역사관,126.959322,37.573395,01167,일반차로
100000073,금화초등학교.서울시교육청,126.964532,37.568297,01168,일반차로
100000368,서대문역사거리.적십자병원,126.9675878497,37.5671081521,01169,일반차로
100000075,독립문,126.9614303112,37.5713430165,01171,일반차로
100000076,창덕궁.우리소리박물관,126.9885394479,37.5775405746,01172,일반차로
100000077,서린동.SK서린빌딩,126.9800947893,37.5692639006,01173,일반차로
100000078,청계1가.장통교,126.9849267193,37.568684389,01174,일반차로
100000079,청계2가.수표교,126.9908172161,37.5684453156,01175,일반차로
100000080,청계4가.세운교,126.9965617399,37.5689254028,01176,일반차로
100000081,청계5가.광장시장,126.9997973605,37.5694512793,01177,일반차로
100000102,원남동,126.9973383362,37.5745325055,01198,가로변시간
100000103,창덕궁.우리소리박물관,126.9889538872,37.5772726542,01199,일반차로
100000104,안국역6번출구.인사동문화의거리,126.9841344381,37.575798979,01200,일반차로
100000105,조계사.종로경찰서,126.9831555803,37.5725223095,01201,일반차로
100000106,조계사.종로경찰서,126.9828258888,37.5724858087,01202,일반차로
100000107,안국동사거리,126.9827201116,37.5746105669,01203,일반차로
100000108,효제동.김상옥의거터,127.00223,37.5745,01204,가로변시간
100000109,종로5가.효제초등학교,127.0021442279,37.5728790133,01205,가로변시간
100000414,창덕궁.돈화문국악당,126.991234977,37.5774327721,01209,일반차로
100000116,종로5가역6번출구,127.0021826522,37.5705596025,01212,일반차로
100000117,청계5가.마전교,127.0028494203,37.5698351103,01213,일반차로
100000118,동대문,127.0084126252,37.5717262368,01214,일반차로
100000119,충신동,127.006278812,37.5740223509,01215,일반차로
100000121,충신동,127.0063433807,37.5744602778,01217,일반차로
100000122,연지공원앞.현대그룹빌딩,127.0008065808,37.5759104142,01218,일반차로
100000123,방송통신대.이화장,127.002437,37.578043,01219,가로변전일
100000124,혜화역2번출구.마로니에공원,127.0022769364,37.5811194873,01220,가로변전일
100000125,혜화역3번출구.서울대병원입구,127.0018481852,37.5809559696,01221,가로변전일
100000126,방송통신대.이화장,127.0019782952,37.5777889737,01222,일반차로
100000127,연지공원앞.현대그룹빌딩,127.0006951494,37.576119355,01223,일반차로
100000128,창경궁.서울대학교병원,126.9968717143,37.5788279947,01224,일반차로
100000129,이화동(이화장),127.0032708172,37.5759372914,01225,일반차로
100000130,혜화동로터리,127.0006878052,37.5855803307,01226,일반차로
100000131,명륜동2가.성균관대입구,126.9993412723,37.5834170764,01227,일반차로
