USE_MM,SBWY_ROUT_LN_NM,STTN,HR_4_GET_ON_NOPE,HR_4_GET_OFF_NOPE,HR_5_GET_ON_NOPE,HR_5_GET_OFF_NOPE,HR_6_GET_ON_NOPE,HR_6_GET_OFF_NOPE,HR_7_GET_ON_NOPE,HR_7_GET_OFF_NOPE,HR_8_GET_ON_NOPE,HR_8_GET_OFF_NOPE,HR_9_GET_ON_NOPE,HR_9_GET_OFF_NOPE,HR_10_GET_ON_NOPE,HR_10_GET_OFF_NOPE,HR_11_GET_ON_NOPE,HR_11_GET_OFF_NOPE,HR_12_GET_ON_NOPE,HR_12_GET_OFF_NOPE,HR_13_GET_ON_NOPE,HR_13_GET_OFF_NOPE,HR_14_GET_ON_NOPE,HR_14_GET_OFF_NOPE,HR_15_GET_ON_NOPE,HR_15_GET_OFF_NOPE,HR_16_GET_ON_NOPE,HR_16_GET_OFF_NOPE,HR_17_GET_ON_NOPE,HR_17_GET_OFF_NOPE,HR_18_GET_ON_NOPE,HR_18_GET_OFF_NOPE,HR_19_GET_ON_NOPE,HR_19_GET_OFF_NOPE,HR_20_GET_ON_NOPE,HR_20_GET_OFF_NOPE,HR_21_GET_ON_NOPE,HR_21_GET_OFF_NOPE,HR_22_GET_ON_NOPE,HR_22_GET_OFF_NOPE,HR_23_GET_ON_NOPE,HR_23_GET_OFF_NOPE,HR_0_GET_ON_NOPE,HR_0_GET_OFF_NOPE,HR_1_GET_ON_NOPE,HR_1_GET_OFF_NOPE,HR_2_GET_ON_NOPE,HR_2_GET_OFF_NOPE,HR_3_GET_ON_NOPE,HR_3_GET_OFF_NOPE,JOB_YMD
202605,경의선,계양,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260603
202605,경의선,검암,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260603
202605,1호선,서울역,802.0,57.0,12246.0,11962.0,37333.0,70445.0,107361.0,132338.0,178791.0,245420.0,142378.0,179215.0,122893.0,121176.0,129237.0,118236.0,145468.0,130777.0,136163.0,126488.0,118917.0,115493.0,147845.0,137678.0,166132.0,148477.0,233468.0,180949.0,257442.0,205329.0,151798.0,142392.0,117591.0,108760.0,117020.0,103916.0,79512.0,76080.0,42104.0,40460.0,5016.0,9678.0,16.0,207.0,0.0,0.0,0.0,0.0,20260603
202605,1호선,시청,158.0,0.0,1859.0,5829.0,4191.0,30940.0,7444.0,74119.0,10374.0,192011.0,13873.0,90924.0,16273.0,54373.0,22313.0,50702.0,26095.0,45875.0,35051.0,44604.0,45251.0,36175.0,56606.0,31963.0,68646.0,30024.0,100900.0,30715.0,152812.0,26496.0,64223.0,14337.0,60588.0,10436.0,52401.0,9211.0,33102.0,6594.0,10836.0,3808.0,576.0,1016.0,0.0,20.0,0.0,0.0,0.0,0.0,20260603
202605,1호선,종각,152.0,5.0,4617.0,5537.0,4845.0,33390.0,7332.0,112215.0,11191.0,239191.0,15695.0,136401.0,20894.0,74116.0,32096.0,74262.0,40235.0,67302.0,51481.0,65697.0,66070.0,54583.0,80280.0,50277.0,96219.0,52902.0,162675.0,57754.0,203295.0,57018.0,98696.0,29685.0,99840.0,18079.0,103119.0,13381.0,71465.0,8750.0,30606.0,5388.0,2169.0,1280.0,0.0,1.0,0.0,0.0,0.0,0.0,20260603
202605,1호선,종로3가,252.0,24.0,4733.0,4338.0,4618.0,14136.0,7488.0,27674.0,11261.0,59564.0,16843.0,60687.0,24094.0,57346.0,34488.0,68010.0,46381.0,66938.0,49999.0,61974.0,61970.0,56594.0,70838.0,50212.0,76478.0,49153.0,87333.0,47108.0,90475.0,45158.0,60002.0,27554.0,57429.0,17246.0,60354.0,13253.0,44992.0,9785.0,22981.0,6562.0,2106.0,2370.0,3.0,40.0,0.0,0.0,0.0,0.0,20260603
202605,1호선,종로5가,67.0,2.0,2090.0,4500.0,3310.0,20396.0,6503.0,43208.0,11673.0,85077.0,17418.0,64309.0,27787.0,60355.0,38137.0,64081.0,45908.0,60402.0,55674.0,56018.0,64154.0,52550.0,68575.0,45004.0,75772.0,41809.0,89510.0,38237.0,88784.0,34458.0,50182.0,20457.0,38075.0,12525.0,35227.0,9099.0,21616.0,7265.0,6157.0,4702.0,414.0,924.0,0.0,0.0,0.0,0.0,0.0,0.0,20260603
202605,1호선,동대문,715.0,21.0,10855.0,2123.0,9369.0,7719.0,15679.0,13308.0,23181.0,21863.0,24194.0,25683.0,22740.0,30558.0,24710.0,36296.0,29012.0,36091.0,33750.0,37012.0,37736.0,37031.0,39923.0,35715.0,41591.0,32699.0,38909.0,29635.0,33855.0,27371.0,25351.0,24798.0,21870.0,18498.0,18486.0,17979.0,13800.0,16407.0,6833.0,10982.0,875.0,3171.0,0.0,264.0,2.0,0.0,0.0,0.0,20260603
202605,1호선,신설동,427.0,13.0,8823.0,2285.0,10820.0,9884.0,22089.0,25082.0,32473.0,50535.0,24007.0,32368.0,22142.0,23140.0,24045.0,21057.0,25061.0,21004.0,27258.0,22280.0,25571.0,21073.0,27600.0,22533.0,31757.0,24325.0,42742.0,27371.0,51714.0,32511.0,21993.0,23502.0,15953.0,18649.0,14186.0,18451.0,9981.0,16147.0,4630.0,11044.0,498.0,3040.0,1.0,4.0,0.0,0.0,0.0,0.0,20260603
202605,1호선,제기동,329.0,3.0,5202.0,2922.0,9349.0,11015.0,20860.0,19783.0,30545.0,36632.0,25234.0,33034.0,27718.0,38190.0,33982.0,43345.0,38587.0,44201.0,40986.0,46513.0,43503.0,41829.0,44195.0,36468.0,44524.0,34745.0,42261.0,29560.0,36657.0,27430.0,20947.0,18554.0,14142.0,12660.0,9077.0,12458.0,5629.0,10275.0,2259.0,6626.0,194.0,1617.0,0.0,2.0,0.0,0.0,0.0,0.0,20260603
202605,1호선,청량리(서울시립대입구),1377.0,69.0,11362.0,3262.0,19305.0,11662.0,47998.0,19224.0,56456.0,41725.0,41002.0,44754.0,39764.0,47351.0,44893.0,54022.0,53534.0,57080.0,54869.0,57425.0,57414.0,55401.0,59852.0,52836.0,63881.0,54535.0,58821.0,56004.0,49493.0,63218.0,31649.0,41655.0,26439.0,27705.0,20399.0,26865.0,12433.0,22960.0,5207.0,14262.0,406.0,4875.0,2.0,5.0,0.0,0.0,0.0,0.0,20260603
202605,1호선,동묘앞,161.0,3.0,2920.0,1105.0,4082.0,6397.0,8524.0,11756.0,13636.0,23384.0,13719.0,21962.0,16234.0,32111.0,22981.0,43169.0,31516.0,45438.0,39569.0,48217.0,42949.0,43492.0,44924.0,37395.0,44096.0,27547.0,39989.0,19718.0,28664.0,14975.0,15951.0,10395.0,8631.0,7612.0,6340.0,7688.0,4155.0,7753.0,1675.0,5199.0,125.0,2420.0,0.0,314.0,0.0,0.0,0.0,0.0,20260603
202605,2호선,시청,21.0,0.0,976.0,2601.0,2402.0,23812.0,5196.0,70371.0,9523.0,201697.0,14286.0,84784.0,21437.0,34442.0,27534.0,31880.0,28877.0,30825.0,34468.0,32696.0,40711.0,27092.0,49586.0,24600.0,61235.0,23449.0,109023.0,24776.0,154022.0,23332.0,59734.0,13594.0,48942.0,9675.0,42291.0,9746.0,25900.0,7996.0,9990.0,4693.0,1208.0,1264.0,0.0,42.0,0.0,0.0,0.0,0.0,20260603
202605,2호선,을지로입구,136.0,2.0,3234.0,3389.0,5542.0,37537.0,12021.0,125126.0,20497.0,301944.0,31404.0,162333.0,38514.0,101047.0,50505.0,87830.0,56844.0,77994.0,69529.0,82405.0,82199.0,73106.0,97666.0,75422.0,118037.0,79544.0,191340.0,87951.0,259963.0,86340.0,141868.0,58544.0,143288.0,44094.0,102341.0,35805.0,83959.0,26915.0,37147.0,15258.0,4096.0,6805.0,0.0,938.0,0.0,0.0,0.0,0.0,20260603
202605,2호선,을지로3가,28.0,1.0,1392.0,2096.0,3368.0,26813.0,6730.0,72468.0,14110.0,147658.0,20330.0,64535.0,26519.0,34155.0,28740.0,32314.0,30553.0,30870.0,33035.0,34725.0,37153.0,32815.0,42448.0,35449.0,52564.0,40186.0,98044.0,48773.0,124135.0,51573.0,55567.0,34612.0,47914.0,24000.0,52185.0,20238.0,45691.0,16825.0,26173.0,9941.0,4347.0,2189.0,2.0,75.0,0.0,0.0,0.0,0.0,20260603
